Frequency (Hz) - Plot 0,gain 0,gain 20,gain 40,gain 60
122,-128.206742,-125.897736,-113.164978,-111.011566
123,-125.498784,-123.998022,-110.483049,-107.596434
124,-127.372875,-122.047856,-110.825266,-105.189156
125,-127.47585,-125.478599,-113.642833,-99.876476
126,-126.435701,-125.539821,-113.660348,-107.791754
127,-126.263046,-124.672692,-111.444037,-109.367114
128,-128.115171,-123.914379,-113.515765,-110.384535
129,-130.014791,-124.156493,-110.305977,-108.390996
130,-128.897113,-122.228561,-114.220156,-110.458931
131,-124.581994,-125.497973,-113.574471,-110.848795
132,-126.214418,-125.868013,-111.937987,-109.347341
133,-127.664425,-124.374488,-112.459367,-110.311673
134,-128.493251,-123.17785,-112.447012,-109.729437
135,-126.541393,-126.389959,-114.148239,-110.766445
136,-129.488839,-125.465306,-110.914529,-108.339075
137,-127.353937,-125.790991,-112.418988,-107.428502
138,-130.19536,-124.53328,-115.44831,-110.011035
139,-124.290934,-124.075595,-112.495747,-110.049807
140,-125.192585,-126.434384,-114.428476,-109.643224
141,-125.373671,-124.283938,-114.973333,-109.441509
142,-127.849529,-125.576153,-111.776322,-109.690346
143,-128.814646,-121.908015,-113.203162,-113.09029
144,-126.931841,-123.13842,-110.262915,-111.896346
145,-128.013082,-125.01829,-110.254027,-110.615836
146,-127.524627,-123.628853,-113.279837,-110.542431
147,-126.498512,-124.474442,-114.023148,-109.261382
148,-125.990308,-122.473351,-113.492643,-107.894292
149,-130.71614,-125.791462,-110.588634,-110.376971
150,-125.518594,-124.163698,-114.217337,-108.348326
151,-126.117505,-128.267898,-112.031405,-110.413559
152,-125.459447,-124.52049,-111.370975,-108.855655
153,-127.61111,-125.576187,-111.995026,-112.702569
154,-128.099481,-125.087019,-112.265594,-109.616761
155,-126.835818,-124.899534,-112.571953,-112.211826
156,-127.578441,-123.859372,-114.372226,-107.214878
157,-126.709566,-126.162813,-115.02326,-109.388019
158,-126.470397,-123.604591,-115.022039,-108.696006
159,-125.089811,-130.11089,-113.123251,-112.230946
160,-123.67114,-127.308581,-111.798505,-107.93654
161,-127.811504,-125.46685,-113.273371,-110.111343
162,-126.891356,-126.021815,-110.445751,-109.769528
163,-127.343746,-127.554272,-112.127559,-107.626418
164,-125.125813,-123.319209,-113.640589,-111.168304
165,-129.046054,-124.279832,-112.203567,-110.740308
166,-126.048833,-122.845272,-112.907283,-112.602181
167,-127.763816,-124.465699,-112.080884,-112.722103
168,-129.190469,-125.406583,-112.151637,-107.019748
169,-127.049253,-124.575581,-111.814597,-109.753416
170,-128.098585,-127.485141,-112.616124,-111.74243
171,-127.291057,-127.907436,-111.421848,-106.392876
172,-125.660662,-127.843313,-114.794149,-110.421737
173,-128.482084,-127.049681,-114.132871,-108.632554
174,-126.677434,-124.309115,-112.249356,-110.184889
175,-129.057065,-123.408815,-112.987235,-109.978145
176,-128.643432,-128.386554,-110.593798,-107.330806
177,-125.27465,-126.859433,-112.388169,-109.161356
178,-126.727832,-130.205018,-110.06584,-109.037708
179,-127.668368,-127.123181,-115.083922,-109.733047
180,-127.589955,-126.215071,-108.121717,-105.586425
181,-127.491402,-125.889886,-113.47149,-112.046185
182,-127.074068,-126.202486,-113.375832,-110.674316
183,-124.669264,-127.87676,-113.657992,-112.490286
184,-126.368049,-128.675786,-112.310724,-107.214978
185,-126.695691,-124.392734,-112.364146,-109.07621
186,-127.034623,-126.217357,-114.059749,-107.843348
187,-128.621957,-123.990572,-110.444331,-104.890415
188,-127.760042,-127.575747,-115.398807,-101.912205
189,-126.47959,-124.856391,-115.146738,-108.192063
190,-128.564139,-126.144513,-112.16257,-109.930253
191,-125.441671,-125.964976,-114.541279,-109.643105
192,-124.76965,-128.312786,-114.125653,-109.676988
193,-127.073992,-127.216249,-114.646354,-111.439875
194,-128.058354,-124.532254,-111.453007,-108.410012
195,-126.609082,-128.437389,-112.106583,-113.435627
196,-127.418505,-128.472396,-112.855675,-111.599507
197,-127.490036,-127.855349,-114.581971,-110.89923
198,-127.718593,-126.771622,-113.802034,-109.079106
199,-129.968834,-124.760967,-113.442527,-109.080473
200,-128.285295,-126.189397,-112.685287,-104.372792
201,-127.422529,-127.914975,-111.778912,-107.602258
202,-125.727548,-125.630118,-111.313431,-111.35915
203,-125.169249,-125.716634,-111.425698,-111.010804
204,-128.805598,-127.050365,-114.914568,-110.064034
205,-129.897076,-126.440114,-113.296845,-108.731421
206,-126.474536,-125.497246,-112.683142,-109.05513
207,-125.00815,-125.475546,-109.699694,-111.001407
208,-126.977918,-127.247934,-113.183215,-110.331258
